Model,MAE,RMSE,R2,Directional_Accuracy
LR_A_V1_5,289.46306566760427,381.7017034437098,0.41715118537988705,0.6
LR_B_V1_5_Lags,304.61875151446986,418.3602013249468,0.20008578641068242,0.6083333333333334
LR_C_V1_5_Returns,357.8620191592974,468.2401798923587,-0.19682078158520788,0.6083333333333333
LR_D_V1_5_Mom_Range_Vol,399.0507137745614,533.6247975906207,-0.49070831155854633,0.65
LR_E_Full_V2,512.2836947113345,679.7539362515972,-2.198695498571146,0.6333333333333333
Naive Persistence,297.48333333333335,384.29766882527406,0.4394575584864649,0.0
