Model,MAE,RMSE,R2,Directional_Accuracy
LinearRegression,310.7934529700364,456.66972491782116,0.3771664000339493,0.6578947368421053
RandomForestRegressor,340.22052631578947,451.58279891836816,0.3909648284518956,0.5789473684210527
HistGradientBoostingRegressor,372.5945496291807,487.6345770128279,0.2898393942085249,0.5263157894736842
