Fold,Model,MAE,RMSE,R2,Directional_Accuracy
0,Naive Persistence,271.4166666666667,387.0994704207176,0.2435717380454382,0.0
0,LR_A_V1_5,277.87983581830485,427.2598250349045,0.07847587559698421,0.625
0,LR_B_V1_5_Lags,376.63066228863295,581.0286758504249,-0.7041888762969581,0.5833333333333334
0,LR_C_V1_5_Returns,538.9408804664491,764.7737989946877,-1.95249107691559,0.5833333333333334
0,LR_D_V1_5_Mom_Range_Vol,630.3715629828183,899.3463488731288,-3.0829733395625967,0.5416666666666666
0,LR_E_Full_V2,1068.0184059172027,1494.678397031642,-10.277636896438823,0.5416666666666666
1,Naive Persistence,157.875,194.6703410041362,0.39967320919330984,0.0
1,LR_A_V1_5,178.10536295202442,216.72736996324835,0.2559267916063531,0.6666666666666666
1,LR_B_V1_5_Lags,215.29727697472745,254.87223474413648,-0.029042234324575755,0.5833333333333334
1,LR_C_V1_5_Returns,286.26379619484663,338.87608035878037,-0.8191561379174257,0.5833333333333334
1,LR_D_V1_5_Mom_Range_Vol,298.21078119229423,357.5558640503219,-1.0252374790987107,0.6666666666666666
1,LR_E_Full_V2,372.33045901828126,456.3058357295405,-2.2983762287575416,0.5416666666666666
2,Naive Persistence,171.0,220.7896812202358,0.43553218541904615,0.0
2,LR_A_V1_5,163.78102283817938,188.87640993568888,0.586917232806616,0.625
2,LR_B_V1_5_Lags,161.5986290624728,195.1910926684006,0.5588344115505175,0.5833333333333334
2,LR_C_V1_5_Returns,157.82266965301648,189.0164515677917,0.5863044487029574,0.6666666666666666
2,LR_D_V1_5_Mom_Range_Vol,141.29459239790546,167.37870431848233,0.6755991060356616,0.7916666666666666
2,LR_E_Full_V2,139.37739378989215,167.03071177612466,0.6769466100680579,0.875
3,Naive Persistence,348.0,461.93262495736326,0.4856192193237937,0.0
3,LR_A_V1_5,330.8449082387103,462.65181793625464,0.4840162711490126,0.5833333333333334
3,LR_B_V1_5_Lags,315.40082809939827,466.7235476046447,0.4748941139122317,0.5833333333333334
3,LR_C_V1_5_Returns,325.47979470062046,455.07677425586905,0.5007744516814643,0.6666666666666666
3,LR_D_V1_5_Mom_Range_Vol,302.2929532241372,446.04854011298517,0.5203861617630219,0.75
3,LR_E_Full_V2,333.93591032625005,473.1877384331829,0.4602477947472422,0.6666666666666666
4,Naive Persistence,539.125,656.9962265239175,0.6328914404507365,0.0
4,LR_A_V1_5,496.7041984908024,612.9930943484526,0.6804197557404691,0.5
4,LR_B_V1_5_Lags,454.1663611471178,593.9854557571272,0.6999315172121969,0.7083333333333334
4,LR_C_V1_5_Returns,480.8029547815545,593.4577942846646,0.7004644065225547,0.5416666666666666
4,LR_D_V1_5_Mom_Range_Vol,623.083679075652,797.7945305981854,0.4586839930698925,0.5
4,LR_E_Full_V2,647.7563045050466,807.5669982874962,0.44534122752533445,0.5416666666666666
