Model,MAE,RMSE,R2,Directional_Accuracy
Naive Persistence,364.5,475.2879182802335,0.32534593541299395,0.0
Linear Regression (BDI Only),302.33535194722265,427.75227377826184,0.45354771636678193,0.7631578947368421
Linear Regression (BDI + Coal),310.79345297003636,456.6697249178212,0.3771664000339491,0.6578947368421053
